Chrom	Read	Strand
8	43	0
8	83	0
8	119	0
8	129	1
8	889	1
8	1695	1
8	2569	1
8	2687	0
8	2795	1
8	3123	0
8	3315	0
8	3868	0
8	4117	0
8	4486	0
8	4903	1
8	5197	1
8	6573	0
8	6695	1
8	7058	0
8	7326	1
8	7922	1
8	9443	1
8	9771	0
8	10410	0
8	10503	1
8	10868	1
8	10919	0
8	11344	0
8	11614	1
8	12295	1
8	12888	0
8	13673	0
8	14501	1
8	15016	1
8	15790	0
8	15914	1
8	16853	1
8	17684	1
8	18525	0
8	19424	1
8	20492	0
8	21684	0
8	21802	1
8	21971	0
8	22618	1
8	23242	0
8	23847	0
8	23859	1
8	25302	1
8	25753	1
8	26038	1
8	26442	1
8	26614	0
8	26770	1
8	27585	1
8	27755	1
8	27900	1
8	28189	0
8	28673	0
8	28812	0
8	30529	0
8	30644	1
8	30978	0
8	31186	1
8	31219	0
8	32363	0
8	33859	1
8	34275	1
8	34883	0
8	35075	1
8	35373	1
8	36139	1
8	36196	1
8	36527	0
8	38048	0
8	38108	0
8	38506	1
8	38987	1
8	39140	0
8	40169	1
8	40455	1
8	40777	0
8	41123	0
8	41564	1
8	41727	0
8	42083	0
8	42504	1
8	42944	0
8	43299	0
8	43462	0
8	43977	0
8	44426	0
8	44757	0
8	44952	1
8	45007	0
8	45069	0
8	45619	1
8	47780	0
8	47793	0
8	48380	1
8	48835	1
8	49057	1
8	50136	1
8	50449	1
8	50631	0
8	50819	1
8	52436	0
8	52600	1
8	52731	0
8	52956	1
8	53390	0
8	53771	1
8	55056	0
8	55239	1
8	56522	0
8	56566	0
8	57814	0
8	58056	0
8	58172	0
8	58387	1
8	58550	0
8	58825	1
8	58898	1
8	60212	0
8	60802	1
8	60885	0
8	61740	1
8	61767	0
8	62378	0
8	62510	0
8	62512	1
8	63271	0
8	63642	0
8	63644	1
8	66364	1
8	67991	0
8	69148	0
8	70048	1
8	70095	1
8	70097	1
8	71138	1
8	71468	1
8	71537	1
8	72887	0
8	73744	1
8	73913	0
8	75053	0
8	75474	0
8	75804	0
8	75938	1
8	76074	0
8	76386	0
8	76503	1
8	77196	1
8	77979	1
8	78180	1
8	79893	0
8	81168	0
8	81170	0
8	81245	0
8	81641	1
8	82429	1
8	82682	1
8	82972	1
8	83268	1
8	83769	1
8	86077	1
8	86804	1
8	87658	1
8	87946	1
8	89383	1
8	90002	0
8	90221	1
8	90269	0
8	90975	1
8	91026	1
8	91177	0
8	92583	1
8	93267	1
8	93602	0
8	94373	1
8	94378	1
8	95326	0
8	95533	1
8	95540	1
8	95598	1
8	96092	1
8	96504	0
8	96711	0
8	97080	0
8	97310	1
8	97353	0
8	98166	0
8	99297	0
8	99501	0
8	99792	0
8	99917	1
8	100151	1
8	100581	0
8	100807	0
8	101304	0
8	101748	0
8	101895	1
8	102237	0
8	102791	0
8	102871	1
8	103508	0
8	106365	1
8	106844	0
8	106886	0
8	107245	1
8	108239	1
8	109317	1
8	109742	1
8	110482	1
8	110849	0
8	111144	0
8	111316	0
8	111884	0
8	112660	1
8	114072	1
8	114355	1
8	114557	0
8	114964	0
8	115163	0
8	116012	1
8	116132	1
8	116154	0
8	116350	0
8	117969	0
8	118163	1
8	118914	0
8	119052	1
8	119485	0
8	119567	1
8	119860	1
8	119892	0
8	121328	1
8	121522	0
8	121835	1
8	122033	0
8	122058	1
8	122936	1
8	123272	0
8	123923	1
8	124050	1
8	124183	0
8	124426	0
8	125092	0
8	125141	1
8	125323	0
8	125790	0
8	125856	0
8	126745	1
8	128607	0
8	129528	0
8	130431	1
8	130744	0
8	130942	0
8	132526	1
8	132696	1
8	132850	1
8	133063	0
8	133501	0
8	133587	1
8	133698	0
8	133757	0
8	134279	1
8	134404	1
8	135970	1
8	136160	0
8	136808	0
8	137103	0
8	140865	1
8	141613	0
8	142543	1
8	142781	0
8	143530	0
8	143693	1
8	144027	1
8	144266	0
8	144347	0
8	145202	1
8	146480	0
8	146528	1
8	147307	1
8	147595	1
8	149160	0
8	150592	0
8	151988	0
8	152312	0
8	152474	1
8	152684	1
8	154192	1
8	155649	0
8	155754	1
8	156789	0
8	158286	1
8	158599	0
8	159040	0
8	159104	0
8	159369	0
8	159971	1
8	161161	1
8	161744	0
8	161957	0
8	162791	1
8	163143	0
8	163821	1
8	163874	1
8	164449	1
8	165191	1
8	166546	0
8	166719	0
8	167535	1
8	168515	0
8	168682	0
8	169326	0
8	169720	1
8	171029	1
8	171078	0
8	171874	0
8	172474	1
8	173326	0
8	174206	0
8	174759	1
8	175406	1
8	177090	1
8	178750	1
8	178783	1
8	178862	0
8	179152	1
8	179217	0
8	179577	1
8	179908	0
8	180409	1
8	181577	0
8	181951	1
8	182117	1
8	182524	1
8	183402	1
8	183853	1
8	184204	1
8	184452	1
8	184657	0
8	185917	0
8	186741	1
8	187534	0
8	187599	0
8	188089	0
8	188136	1
8	188578	0
8	188880	1
8	189351	1
8	189688	1
8	189780	0
8	190257	1
8	190684	0
8	191495	0
8	192661	0
8	192765	0
8	192979	0
8	193531	0
8	193757	0
8	194042	0
8	194207	1
8	194272	1
8	195773	1
8	196053	0
8	196279	0
8	196353	1
8	196805	0
8	197519	1
8	197627	0
8	197958	1
8	198323	1
8	198650	0
8	199446	0
8	199830	1
